Year_Date,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Capital Expenditure Reported,Investing Cash Flow,Financing Cash Flow,Depreciation,Depreciation And Amortization,Depreciation Amortization Depletion,Net Income From Continuing Operations,Ticker,Year
31/12/2025,11272000000,24493000000,-13221000000,-13221000000,-11504000000,-15880000000,17822000000,17822000000,0,7746000000,BP,2025
31/12/2024,12000000000,27297000000,-15297000000,-15297000000,-13250000000,-7297000000,16622000000,16622000000,0,6782000000,BP,2024
31/12/2023,17754000000,32039000000,-14285000000,-14285000000,-14872000000,-13359000000,15928000000,15928000000,0,23749000000,BP,2023
31/12/2022,28863000000,40932000000,-12069000000,-12069000000,-13713000000,-28021000000,14318000000,14318000000,0,15405000000,BP,2022
31/12/2025,16592000000,33939000000,-17347000000,-17347000000,-15911000000,-19063000000,20132000000,20132000000,20457000000,12485000000,CVX,2025
31/12/2024,15044000000,31492000000,-16448000000,-16448000000,-8936000000,-23472000000,17282000000,17282000000,17711000000,17749000000,CVX,2024
31/12/2023,19780000000,35609000000,-15829000000,-15829000000,-15232000000,-30109000000,17326000000,17326000000,17762000000,21411000000,CVX,2023
31/12/2022,37628000000,49602000000,-11974000000,-11974000000,-12108000000,-24978000000,14809000000,14809000000,15295000000,35608000000,CVX,2022
31/12/2025,23916000000,42863000000,-18947000000,-18947000000,-16811000000,-35812000000,22167000000,22167000000,0,29756000000,SHEL,2025
31/12/2024,35086000000,54687000000,-19601000000,-19601000000,-15155000000,-38435000000,22703000000,22703000000,0,29922000000,SHEL,2024
31/12/2023,31198000000,54191000000,-22993000000,-22993000000,-17734000000,-38235000000,23106000000,23106000000,0,32627000000,SHEL,2023
31/12/2022,45814000000,68414000000,-22600000000,-22600000000,-22448000000,-41954000000,22393000000,22393000000,0,64815000000,SHEL,2022
31/12/2025,23612000000,51970000000,-28358000000,0,-25927000000,-39081000000,0,0,25993000000,29764000000,XOM,2025
31/12/2024,30716000000,55022000000,-24306000000,0,-19938000000,-42789000000,0,0,23442000000,35063000000,XOM,2024
31/12/2023,33450000000,55369000000,-21919000000,0,-19274000000,-34297000000,0,0,20641000000,37354000000,XOM,2023
31/12/2022,58390000000,76797000000,-18407000000,0,-14742000000,-39114000000,0,0,24040000000,57577000000,XOM,2022
