Ticker,Year,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Interest Income,Otherunder Preferred Stock Dividend,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Total Other Finance Cost,Interest Income Non Operating,Research And Development,Preferred Stock Dividends,Selling And Marketing Expense
XOM,2025-12-31,0.0,0.31,67864000000.0,28844000000.0,25993000000.0,252665000000.0,67864000000.0,41871000000.0,-603000000.0,603000000.0,28844000000.0,28844000000.0,289967000000.0,4305074627.0,4305074627.0,6.7,6.7,28844000000.0,28844000000.0,28844000000.0,-920000000.0,29764000000.0,29764000000.0,11504000000.0,41268000000.0,7933000000.0,2869000000.0,5064000000.0,-603000000.0,603000000.0,33938000000.0,37302000000.0,1007000000.0,25167000000.0,11128000000.0,,,,71240000000.0,252665000000.0,323905000000.0,323905000000.0,,,,,,,,,,,,,
XOM,2024-12-31,0.0,0.33,73311000000.0,33680000000.0,23442000000.0,262505000000.0,73311000000.0,49869000000.0,-996000000.0,996000000.0,33680000000.0,33680000000.0,299595000000.0,4298000000.0,4295918367.0,7.84,7.84,33680000000.0,33680000000.0,33680000000.0,-1383000000.0,35063000000.0,35063000000.0,13810000000.0,48873000000.0,10217000000.0,4023000000.0,6194000000.0,-996000000.0,996000000.0,39652000000.0,37090000000.0,826000000.0,26288000000.0,9976000000.0,9976000000.0,9976000000.0,,76742000000.0,262505000000.0,339247000000.0,339247000000.0,,,,,,,,,,,,,
XOM,2023-12-31,0.0,0.33,74273000000.0,36010000000.0,20641000000.0,250555000000.0,74273000000.0,53632000000.0,-849000000.0,849000000.0,36010000000.0,36010000000.0,290236000000.0,4052000000.0,4050618673.0,8.89,8.89,36010000000.0,36010000000.0,36010000000.0,-1344000000.0,37354000000.0,37354000000.0,15429000000.0,52783000000.0,9171000000.0,2786000000.0,6385000000.0,-849000000.0,849000000.0,44461000000.0,39681000000.0,751000000.0,29011000000.0,9919000000.0,9919000000.0,9919000000.0,714000000.0,84142000000.0,250555000000.0,334697000000.0,334697000000.0,,,,,,,,,,,,,
XOM,2022-12-31,0.0,0.33,102591000000.0,55740000000.0,24040000000.0,295608000000.0,102591000000.0,78551000000.0,-798000000.0,798000000.0,55740000000.0,55740000000.0,334647000000.0,4205000000.0,4203619910.0,13.26,13.26,55740000000.0,55740000000.0,55740000000.0,-1837000000.0,57577000000.0,57577000000.0,20176000000.0,77753000000.0,14523000000.0,3060000000.0,11463000000.0,-798000000.0,798000000.0,64028000000.0,39039000000.0,1025000000.0,27919000000.0,10095000000.0,10095000000.0,10095000000.0,482000000.0,103067000000.0,295608000000.0,398675000000.0,398675000000.0,,,,,,,,,,,,,
XOM,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9574000000.0,9574000000.0,786000000.0,,,,,,,,,,,,,,,,,
CVX,2025-12-31,0.0,0.368,41417000000.0,12299000000.0,20457000000.0,128346000000.0,41417000000.0,20960000000.0,-1217000000.0,1217000000.0,12299000000.0,12299000000.0,167758000000.0,1855637000.0,1849217000.0,6.63,6.65,12299000000.0,12299000000.0,12299000000.0,-186000000.0,12485000000.0,12485000000.0,7258000000.0,19743000000.0,4286000000.0,1286000000.0,3000000000.0,-1217000000.0,1217000000.0,16674000000.0,39412000000.0,29056000000.0,5230000000.0,5126000000.0,,,,56086000000.0,128346000000.0,184432000000.0,184432000000.0,,,,,,,,,,,,,
CVX,2024-12-31,0.0,0.355,45811000000.0,17661000000.0,17711000000.0,136488000000.0,45811000000.0,28100000000.0,-594000000.0,594000000.0,17661000000.0,17661000000.0,174497000000.0,1816602000.0,1809583000.0,9.72,9.76,17661000000.0,17661000000.0,17661000000.0,-88000000.0,17749000000.0,17749000000.0,9757000000.0,27506000000.0,9183000000.0,4587000000.0,4596000000.0,-594000000.0,594000000.0,18917000000.0,38009000000.0,28459000000.0,4716000000.0,4834000000.0,,,,56926000000.0,136488000000.0,193414000000.0,193414000000.0,,,,,,,,,,,,,
CVX,2023-12-31,0.0,0.276,47815000000.0,21369000000.0,17762000000.0,136522000000.0,47815000000.0,30053000000.0,-469000000.0,469000000.0,21369000000.0,21369000000.0,170684000000.0,1880307000.0,1872737000.0,11.36,11.41,21369000000.0,21369000000.0,21369000000.0,-42000000.0,21411000000.0,21411000000.0,8173000000.0,29584000000.0,3824000000.0,-1307000000.0,5131000000.0,-469000000.0,469000000.0,26229000000.0,34162000000.0,25801000000.0,4220000000.0,4141000000.0,,,,60391000000.0,136522000000.0,196913000000.0,196913000000.0,,,,,,,,,,,,,
CVX,2022-12-31,0.0,0.283,65485000000.0,35465000000.0,15295000000.0,161735000000.0,65485000000.0,50190000000.0,-516000000.0,516000000.0,35465000000.0,35465000000.0,195767000000.0,1940277000.0,1931486000.0,18.28,18.36,35465000000.0,35465000000.0,35465000000.0,-143000000.0,35608000000.0,35608000000.0,14066000000.0,49674000000.0,10240000000.0,1655000000.0,8585000000.0,-516000000.0,516000000.0,39950000000.0,34032000000.0,25688000000.0,4032000000.0,4312000000.0,,,,73982000000.0,161735000000.0,235717000000.0,235717000000.0,,,,,,,,,,,,,
SHEL,2025-12-31,,0.39,53404000000.0,17837000000.0,22167000000.0,224391000000.0,56664000000.0,34497000000.0,-2669000000.0,4741000000.0,15848400000.0,17837000000.0,239304000000.0,2974300000.0,2945400000.0,6.0,6.06,17837000000.0,17837000000.0,17837000000.0,-282000000.0,18119000000.0,18119000000.0,11637000000.0,29756000000.0,,420000000.0,,-2669000000.0,4741000000.0,27582000000.0,14913000000.0,1136000000.0,,12607000000.0,12607000000.0,,,42495000000.0,224391000000.0,266886000000.0,266886000000.0,3260000000.0,3260000000.0,2072000000.0,0.0,3190000000.0,-3190000000.0,,,,2072000000.0,1170000000.0,,
SHEL,2024-12-31,,0.25,57700000000.0,16094000000.0,22703000000.0,238371000000.0,57483000000.0,34780000000.0,-2397000000.0,4858000000.0,16256750000.0,16094000000.0,254320000000.0,3181850000.0,3149800000.0,5.06,5.1,16094000000.0,16094000000.0,16094000000.0,-427000000.0,16521000000.0,16521000000.0,13401000000.0,29922000000.0,,493000000.0,,-2397000000.0,4858000000.0,29992000000.0,15949000000.0,2411000000.0,,12439000000.0,12439000000.0,,,45941000000.0,238371000000.0,284312000000.0,284312000000.0,-217000000.0,-217000000.0,2461000000.0,0.0,-288000000.0,288000000.0,,,,2461000000.0,1099000000.0,,
SHEL,2023-12-31,84411438.379256,0.398167,60149000000.0,19359000000.0,23106000000.0,269413000000.0,60361000000.0,37255000000.0,-2056000000.0,4628000000.0,19231411438.379257,19359000000.0,285883000000.0,3399900000.0,3366750000.0,5.7,5.76,19359000000.0,19359000000.0,19359000000.0,-277000000.0,19636000000.0,19636000000.0,12991000000.0,32627000000.0,,418000000.0,,-2056000000.0,4628000000.0,30737000000.0,16470000000.0,1750000000.0,,13433000000.0,13433000000.0,,,47207000000.0,269413000000.0,316620000000.0,316620000000.0,212000000.0,212000000.0,2572000000.0,0.0,257000000.0,-257000000.0,,8185000000.0,-259000000.0,2572000000.0,1287000000.0,,
SHEL,2022-12-31,622533348.761861,0.338517,90715000000.0,42309000000.0,22393000000.0,302535000000.0,92554000000.0,70161000000.0,-4300000000.0,5346000000.0,41092533348.76186,42309000000.0,318205000000.0,3705250000.0,3673750000.0,11.42,11.52,42309000000.0,42309000000.0,42309000000.0,-565000000.0,42874000000.0,42874000000.0,21941000000.0,64815000000.0,,319000000.0,,-4300000000.0,5346000000.0,63109000000.0,15670000000.0,1712000000.0,,12883000000.0,12883000000.0,,,78779000000.0,302535000000.0,381314000000.0,381314000000.0,1839000000.0,1839000000.0,1046000000.0,0.0,1768000000.0,-1768000000.0,-1126000000.0,,649000000.0,1046000000.0,1075000000.0,,
SHEL,2021-12-31,1858140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3851000000.0,-3851000000.0,-28000000.0,,,,
BP,2025-12-31,-1348250000.0,0.25,36089000000.0,55000000.0,17822000000.0,155806000000.0,30696000000.0,12874000000.0,-3287000000.0,5128000000.0,4099750000.0,55000000.0,173527000000.0,2652166667.0,2597797000.0,0.0204,0.021,54000000.0,54000000.0,55000000.0,-1240000000.0,1295000000.0,1295000000.0,6451000000.0,7746000000.0,,,,-3287000000.0,5128000000.0,15808000000.0,17721000000.0,227000000.0,,17494000000.0,17494000000.0,,,33529000000.0,155806000000.0,189335000000.0,189335000000.0,-5393000000.0,-5393000000.0,1609000000.0,0.0,-5393000000.0,-345000000.0,,5738000000.0,-232000000.0,1609000000.0,,1000000.0,
BP,2024-12-31,-1771000000.0,0.25,35067000000.0,381000000.0,16622000000.0,158946000000.0,27983000000.0,11361000000.0,-1742000000.0,4579000000.0,5694000000.0,381000000.0,175570000000.0,2802777333.0,2730922500.0,0.1392,0.1428,390000000.0,390000000.0,381000000.0,-848000000.0,1229000000.0,1229000000.0,5553000000.0,6782000000.0,,,,-1742000000.0,4579000000.0,13615000000.0,16624000000.0,207000000.0,,16417000000.0,16417000000.0,,,30239000000.0,158946000000.0,189185000000.0,189185000000.0,-7084000000.0,-7084000000.0,2773000000.0,-10000000.0,-7084000000.0,1128000000.0,,5956000000.0,-64000000.0,2773000000.0,,1000000.0,
